"Serial No.","Date","Time","Note/comment","Label","Duration(Minutes)","Distractions","Points of Distractions","Longest focused(Seconds)"
"1","20 Mar 18","18:11","","Unlabelled","15","1","2","820"
"2","20 Mar 18","18:26","","Unlabelled","15","0","","900"
"3","28 Mar 18","17:07","","Unlabelled","55","11","7,7,10,11,14,17,23,28,29,54,54","1491"
"4","28 Mar 18","18:22","","Unlabelled","55","7","6,6,6,6,6,23,23","1946"
"5","24 Oct 19","15:52","","208","55","0","","3300"
"6","24 Oct 19","17:02","","208","55","0","","3300"
"7","24 Oct 19","18:12","","208","55","0","","3300"
"8","24 Oct 19","20:49","","305","55","0","","3300"
"9","24 Oct 19","21:59","","305","55","1","53","3156"
"10","24 Oct 19","23:09","","305","55","2","1,9","2762"
"11","25 Oct 19","01:28","","215","27","0","","1620"
"12","25 Oct 19","20:27","","305","69","0","","4140"
"13","25 Oct 19","22:24","","305","50","0","","3000"
"14","26 Oct 19","00:47","","305","88","0","","5280"
"15","26 Oct 19","14:31","","305","54","0","","3240"
"16","26 Oct 19","16:04","","305","58","0","","3480"
"17","26 Oct 19","18:02","","305","17","0","","1020"
"18","26 Oct 19","20:33","","305","64","0","","3840"
"19","26 Oct 19","23:28","","Linear Algebra (Basic)","59","0","","3540"
"20","27 Oct 19","00:42","","Linear Algebra (Basic)","48","0","","2880"
"21","27 Oct 19","12:27","","305","60","6","59,59,59,59,59,59","3494"
"22","27 Oct 19","15:20","","305","58","9","9,19,30,30,30,30,30,30,30","1728"
"23","27 Oct 19","16:40","","305","8","0","","480"
"24","27 Oct 19","16:51","","215","54","0","","3240"
"25","27 Oct 19","21:45","","305","59","0","","3540"
"26","27 Oct 19","","","Adv. Linear Algebra","30","-1","","0"
"27","28 Oct 19","14:01","","MME","50","0","","3000"
"28","28 Oct 19","15:27","","305","49","0","","2940"
"29","28 Oct 19","17:21","","305","66","0","","3960"
"30","28 Oct 19","22:33","","Probability","94","0","","5640"
"31","29 Oct 19","17:34","","305","73","1","65","3875"
"32","29 Oct 19","20:27","","305","38","1","38","2254"
"33","29 Oct 19","21:31","","305","77","0","","4620"
"34","29 Oct 19","23:43","","305","52","0","","3120"
"35","30 Oct 19","00:45","","305","55","0","","3300"
"36","30 Oct 19","03:17","","305","35","0","","2100"
"37","31 Oct 19","15:18","","305","83","0","","4980"
"38","31 Oct 19","19:00","","305","120","-1","","0"
"39","01 Nov 19","01:08","","305","65","0","","3900"
"40","01 Nov 19","15:42","","Integration","71","0","","4260"
"41","01 Nov 19","18:56","","Adv. Linear Algebra","101","0","","6060"
"42","02 Nov 19","03:15","","Adv. Linear Algebra","71","1","71","4237"
"43","02 Nov 19","05:35","","Adv. Linear Algebra","60","-1","","0"
"44","02 Nov 19","08:30","","Adv. Linear Algebra","30","-1","","0"
"45","02 Nov 19","09:00","","215","120","-1","","0"
"46","02 Nov 19","12:00","","Adv. Linear Algebra","30","-1","","0"
"47","02 Nov 19","15:00","","305","19","0","","1140"
"48","02 Nov 19","22:43","","Adv. Linear Algebra","53","0","","3180"
"49","03 Nov 19","00:07","","Adv. Linear Algebra","50","0","","3000"
"50","03 Nov 19","01:21","","Adv. Linear Algebra","64","0","","3840"
"51","03 Nov 19","12:26","","215","35","0","","2100"
"52","03 Nov 19","15:33","","215","75","0","","4500"
"53","03 Nov 19","17:46","","215","41","0","","2460"
"54","03 Nov 19","18:42","","215","79","0","","4740"
"55","03 Nov 19","22:13","","305","46","0","","2760"
"56","03 Nov 19","23:36","","305","55","0","","3300"
"57","04 Nov 19","01:00","","305","78","0","","4680"
"58","04 Nov 19","16:53","","215","60","0","","3600"
"59","05 Nov 19","02:47","","215","240","0","","14400"
"60","06 Nov 19","12:26","","208","73","0","","4380"
"61","06 Nov 19","15:18","","215","55","0","","3300"
"62","06 Nov 19","16:47","","215","82","0","","4920"
"63","06 Nov 19","18:24","","215","69","1","69","4086"
"64","06 Nov 19","21:07","","215","72","0","","4320"
"65","06 Nov 19","22:57","","305","48","0","","2880"
"66","07 Nov 19","00:46","","305","50","0","","3000"
"67","07 Nov 19","13:45","","215","90","0","","5400"
"68","07 Nov 19","16:13","","215","64","0","","3840"
"69","07 Nov 19","17:41","","215","73","0","","4380"
"70","07 Nov 19","21:05","","215","63","0","","3780"
"71","07 Nov 19","22:56","","306","63","0","","3780"
"72","08 Nov 19","00:57","","306","44","0","","2640"
"73","08 Nov 19","01:45","","306","15","-1","","0"
"74","08 Nov 19","14:23","","306","28","0","","1680"
"75","08 Nov 19","18:01","","306","67","0","","4020"
"76","08 Nov 19","20:14","","306","34","0","","2040"
"77","08 Nov 19","21:52","","306","8","0","","480"
"78","08 Nov 19","22:59","","305","104","0","","6240"
"79","09 Nov 19","03:12","","305","18","0","","1080"
"80","09 Nov 19","12:37","","306","45","0","","2700"
"81","09 Nov 19","13:42","","306","45","0","","2700"
"82","09 Nov 19","15:16","","305","45","0","","2700"
"83","09 Nov 19","16:17","","305","45","0","","2700"
"84","09 Nov 19","17:17","","305","45","0","","2700"
"85","09 Nov 19","18:30","","305","40","-1","","0"
"86","09 Nov 19","19:32","","305","53","0","","3180"
"87","10 Nov 19","00:25","","215","66","0","","3960"
"88","10 Nov 19","13:40","","215","55","0","","3300"
"89","10 Nov 19","14:45","","215","55","0","","3300"
"90","10 Nov 19","17:03","","215","58","0","","3480"
"91","10 Nov 19","18:37","","215","41","0","","2460"
"92","10 Nov 19","19:44","","215","42","0","","2520"
"93","10 Nov 19","22:49","","215","50","0","","3000"
"94","11 Nov 19","00:28","","215","54","0","","3240"
"95","11 Nov 19","02:30","","215","59","0","","3540"
"96","12 Nov 19","02:01","","305","75","0","","4500"
"97","12 Nov 19","03:32","","305","37","0","","2220"
"98","12 Nov 19","04:29","","305","52","0","","3120"
"99","12 Nov 19","17:40","","305","50","0","","3000"
"100","12 Nov 19","18:58","","305","28","0","","1680"
"101","12 Nov 19","20:35","","305","55","0","","3300"
"102","12 Nov 19","22:38","","305","91","0","","5460"
"103","13 Nov 19","02:30","","305","45","-1","","0"
"104","13 Nov 19","14:38","","305","28","0","","1680"
"105","13 Nov 19","15:31","","305","24","0","","1440"
"106","13 Nov 19","16:42","","305","30","0","","1800"
"107","13 Nov 19","18:56","","305","67","0","","4020"
"108","13 Nov 19","20:27","","305","46","0","","2760"
"109","13 Nov 19","22:23","","305","34","0","","2040"
"110","13 Nov 19","23:08","","305","15","0","","900"
"111","14 Nov 19","00:02","","305","40","0","","2400"
"112","14 Nov 19","01:20","","305","39","0","","2340"
"113","14 Nov 19","02:27","","305","14","0","","840"
"114","14 Nov 19","03:10","","305","14","0","","840"
"115","15 Nov 19","02:39","","208","46","0","","2760"
"116","15 Nov 19","14:22","","208","55","0","","3300"
"117","15 Nov 19","15:30","","208","55","0","","3300"
"118","15 Nov 19","16:36","","208","55","0","","3300"
"119","15 Nov 19","17:41","","208","10","0","","600"
"120","15 Nov 19","18:40","","208","49","0","","2940"
"121","15 Nov 19","21:18","","208","87","0","","5220"
"122","15 Nov 19","23:32","","208","101","0","","6060"
"123","16 Nov 19","14:43","","208","71","0","","4260"
"124","16 Nov 19","16:39","","208","63","0","","3780"
"125","16 Nov 19","20:29","","208","28","0","","1680"
"126","16 Nov 19","22:29","","208","53","0","","3180"
"127","17 Nov 19","15:53","","208","73","0","","4380"
"128","17 Nov 19","17:25","","208","45","0","","2700"
"129","17 Nov 19","18:49","","208","86","0","","5160"
"130","17 Nov 19","21:52","","208","65","0","","3900"
"131","17 Nov 19","23:34","","208","64","0","","3840"
"132","18 Nov 19","00:57","","208","115","0","","6900"
"133","18 Nov 19","03:14","","208","71","0","","4260"
"134","18 Nov 19","12:23","","208","24","0","","1440"
"135","18 Nov 19","12:53","","208","53","0","","3180"
"136","18 Nov 19","15:38","","208","28","0","","1680"
"137","18 Nov 19","17:12","","208","18","0","","1080"
"138","18 Nov 19","20:31","","208","34","0","","2040"
"139","18 Nov 19","22:46","","208","48","0","","2880"
"140","20 Nov 19","15:00","","306","60","-1","","0"
"141","20 Nov 19","22:17","","306","58","0","","3480"
"142","20 Nov 19","23:53","","306","89","0","","5340"
"143","23 Nov 19","15:33","","Proof","28","0","","1680"
"144","23 Nov 19","17:03","","Proof","15","0","","900"
"145","23 Nov 19","22:43","","DSA","24","0","","1440"
"146","23 Nov 19","23:13","","Python","60","0","","3600"
"147","24 Nov 19","01:16","","Graph Theory","13","0","","780"
"148","24 Nov 19","18:23","","Unlabelled","11","0","","660"
"149","24 Nov 19","22:37","","Statistics","56","0","","3360"
